WORD,COUNT
said,1469
Frodo,1029
now,591
will,551
I,532
it,488
Gandalf,442
came,433
long,421
him,411
like,397
Sam,393
go,362
ring,354
many,345
back,337
them,336
one,330
us,330
"",329
away,325
still,320
far,314
come,313
see,296
great,294
seemed,294
know,286
dark,271
last,270
way,269
Bilbo,267
you,264
went,263
time,261
light,259
may,256
old,255
upon,254
fellowship,252
again,252
shall,250
must,248
looked,248
can,244
heard,226
hobbits,223
even,222
Ring,221
little,216
night,212
much,211
Shire,209
Pippin,208
thought,208
me,205
Aragorn,201
think,200
saw,199
say,199
Strider,197
eyes,197
trees,196
made,195
left,194
But,192
found,190
behind,186
yet,185
good,182
Merry,182
well,181
side,181
dont,178
things,177
Elves,176
seen,170
ever,169
though,169
hand,167
water,165
rst,161
stood,160
going,159
land,159
Mr,157
felt,154
road,154
never,153
end,152
nd,152
day,151
cried,149
get,149
began,148
passed,148
two,148
fell,145
hope,145
Boromir,145
feet,144
It,143
round,141
right,140
others,138
beyond,137
white,136
turned,136
lay,134
might,134
re,134
days,133
answered,133
take,132
You,131
deep,131
asked,131
soon,128
took,128
And,127
suddenly,126
got,123
make,123
Elrond,122
voice,119
towards,119
set,118
wind,118
words,117
sat,116
door,115
without,115
heart,115
tell,115
look,114
Gimli,114
world,114
fear,113
black,113
Tom,113
up,112
along,112
shadow,112
Well,111
stone,111
need,110
grey,109
knew,109
there,109
moment,108
just,108
path,108
near,107
looking,107
indeed,107
since,107
folk,107
clear,107
spoke,106
on,106
high,106
The,105
out,105
called,105
nothing,104
sound,104
We,104
Road,104
among,102
sun,102
something,101
put,101
green,100
course,99
head,99
that,99
let,99
gone,98
already,98
here,98
Company,98
hear,97
River,97
house,96
cold,95
small,95
name,94
another,94
face,94
years,94
all,93
Legolas,93
leave,93
sky,93
three,92
morning,92
ground,92
keep,91
mind,91
ago,91
Men,91
What,90
wish,90
alone,88
fair,88
wide,88
grew,87
told,87
coming,87
evil,87
hills,86
also,86
help,86
One,85
power,85
Rivendell,85
thing,84
forward,84
grass,83
leaves,83
better,83
open,83
air,82
friends,82
Now,81
and,81
drew,81
hill,81
ran,80
journey,80
strange,79
enough,79
least,79
rest,78
gave,77
slowly,77
Riders,77
sleep,76
want,76
Bree,76
pale,76
pass,76
place,75
stars,75
mountains,75
silver,74
together,74
Yes,74
ahead,74
Enemy,73
speak,73
There,73
more,73
Yet,72
Moria,72
No,72
home,72
wonder,72
before,72
brought,72
Hobbits,71
often,70
longer,70
mean,70
across,69
news,69
Great,69
not,68
give,68
less,68
south,68
tall,68
tree,68
east,67
darkness,67
gold,67
known,67
anything,67
rather,66
Come,66
large,65
Gollum,65
low,65
feel,65
became,65
lost,64
Frodos,64
silent,64
people,64
lands,64
followed,64
Mordor,63
Baggins,63
fall,63
but,63
so,63
walked,63
bank,63
stream,62
down,62
song,62
That,62
shadows,61
rose,61
quite,61
hard,61
river,61
beside,61
sign,60
End,60
hands,60
caught,60
close,60
full,59
Suddenly,59
is,59
in,59
Even,58
done,58
part,58
used,58
Then,58
do,58
wood,58
cant,57
seem,57
bright,57
either,57
Old,57
Bilbos,57
turn,57
led,57
hobbit,57
word,57
woods,57
north,56
Bag,56
If,56
afraid,56
once,56
almost,56
gate,56
doubt,55
off,55
times,55
laid,55
evening,55
He,55
country,55
west,55
boats,55
sword,55
talk,55
Mountains,55
Forest,55
Let,55
Ill,55
Sauron,54
call,54
wall,54
himself,54
standing,54
half,54
held,54
Black,54
hidden,54
new,54
Lady,54
quickly,54
strength,53
reached,53
strong,52
valley,52
silence,52
edge,51
every,51
broken,51
red,51
become,51
singing,51
seems,51
short,51
this,50
chance,50
food,50
laughed,50
perhaps,50
man,50
sprang,49
else,49
Butterbur,49
Saruman,49
Lord,49
foot,49
nearly,49
running,49
kept,49
sir,48
mist,48
danger,48
doors,48
remember,47
hardly,47
save,47
ask,47
places,47
return,47
tale,47
comes,47
lled,47
be,47
sure,47
then,46
secret,46
lies,46
answer,46
room,46
miles,46
North,45
maybe,45
young,45
soft,45
outside,45
guess,45
vanished,45
use,45
too,45
sitting,45
climbed,45
top,45
remained,45
except,44
horse,44
Dark,44
Minas,44
understand,44
ancient,44
halted,44
ready,44
best,44
follow,44
inside,43
heavy,43
ing,43
shining,43
getting,43
sudden,43
while,43
memory,43
to,43
wont,42
Gondor,42
borders,42
corner,42
true,42
happened,42
Its,42
East,42
voices,42
fallen,42
master,42
stopped,42
line,42
West,42
Haldir,42
walls,42
boat,41
till,41
always,41
snow,41
shone,41
hair,41
hall,41
son,41
sight,41
several,40
aside,40
later,40
living,40
walking,40
goes,40
Dwarves,40
ponies,40
cut,40
forgotten,40
watch,40
walk,40
matter,40
golden,39
Sea,39
meet,39
live,39
about,39
really,39
plain,39
bed,39
stones,39
friend,38
returned,38
glad,38
Galadriel,38
Sun,38
earth,38
unless,38
moved,38
past,38
pony,38
year,38
next,38
faded,38
appeared,38
merry,38
hour,38
none,38
falling,38
tales,38
wizard,38
table,38
late,37
window,37
Im,37
arms,37
stay,37
present,37
steep,37
horses,37
rode,37
branches,36
company,36
given,36
feeling,36
Moon,36
queer,36
mighty,36
growing,36
turning,36
wound,36
men,36
nearer,36
spring,36
early,36
quiet,35
kind,35
seldom,35
at,35
business,35
Orcs,35
tonight,35
straight,35
free,35
waters,35
point,35
arm,35
bit,35
wait,35
guests,35
distance,35
rising,35
trouble,35
clouds,34
neither,34
Dont,34
yellow,34
bear,34
trying,34
Glorndel,34
Tirith,34
learned,34
story,34
passage,34
Master,34
fast,34
oor,34
Nine,34
shut,34
Ive,34
Bill,33
Hobbiton,33
shore,33
shoulder,33
peril,33
work,33
hearts,33
deal,33
for,33
lane,33
beneath,33
farewell,33
South,33
Though,33
opened,33
blue,33
knows,33
fact,33
thinking,32
broke,32
are,32
safe,32
saying,32
rain,32
eye,32
especially,32
lie,32
dream,32
peace,32
eastern,32
four,32
weary,32
stand,32
Elvish,32
beginning,32
cry,31
whole,31
empty,31
Isildur,31
read,31
escape,31
wild,31
slipped,31
This,31
listening,31
talking,31
Three,31
distant,31
desire,31
care,31
making,30
middle,30
bridge,30
Elf,30
were,30
over,30
slopes,30
history,30
hold,30
passing,30
dim,30
cast,30
birds,30
dead,30
western,30
rolled,30
speaking,30
wished,30
narrow,30
Buckland,30
They,30
hot,29
noise,29
rings,29
windows,29
watched,29
bent,29
Goldberry,29
Bombadil,29
Ford,29
thick,29
faces,29
paths,29
Not,29
dwelt,29
lying,29
case,29
moon,29
suppose,29
names,29
length,29
guessed,29
travellers,29
drink,28
heads,28
could,28
Maggot,28
breath,28
leading,28
westward,28
ed,28
grow,28
Celeborn,28
Here,28
trust,28
dangerous,28
swiftly,28
life,28
warm,28
All,28
slope,28
tongue,28
Gildor,28
softly,28
lead,28
asleep,28
hundred,28
Bridge,28
opening,28
sent,28
lifted,28
change,28
fog,28
he,28
book,28
lived,28
Why,28
doom,28
chair,27
bowed,27
faint,27
Do,27
slow,27
wondered,27
Many,27
wise,27
smoke,27
weather,27
Weathertop,27
own,27
O,27
important,27
deadly,27
sort,27
believe,27
bring,27
stepped,27
party,27
thin,27
advice,27
love,26
cool,26
Indeed,26
hung,26
worse,26
troubled,26
closed,26
start,26
ere,26
legs,26
bore,26
taken,26
Soon,26
Mirkwood,26
supper,26
staff,26
was,26
Rohan,26
hole,26
sing,26
Brandywine,26
So,26
tried,26
southwards,25
White,25
owed,25
dwarves,25
roots,25
possible,25
whether,25
feared,25
move,25
ill,25
star,25
eastward,25
Council,25
moving,25
Hill,25
poor,25
didnt,25
Middleearth,25
quietly,25
broad,25
able,25
shouted,25
swift,25
quick,25
Good,25
tired,25
leaving,25
of,25
try,24
steadily,24
hours,24
council,24
climb,24
enemy,24
truth,24
dwell,24
burning,24
parts,24
built,24
step,24
shapes,24
front,24
roof,24
account,24
added,24
Took,24
thats,24
chief,24
brown,24
waiting,24
met,24
Days,24
aware,24
Wise,24
dwarf,24
garden,24
companions,24
greater,24
run,24
wolves,24
questions,23
Gamgee,23
Elendil,23
dawn,23
reach,23
dell,23
started,23
Ah,23
war,23
ame,23
send,23
crossed,23
ngers,23
seek,23
says,23
ears,23
elds,23
however,23
cloud,23
hollow,23
gure,23
probably,23
dear,23
owers,23
myself,22
Rings,22
certain,22
choice,22
rate,22
decided,22
For,22
northern,22
expected,22
bottom,22
king,22
lights,22
Chapter,22
hedge,22
Just,22
circle,22
seeing,22
Anduin,22
hes,22
today,22
Nothing,22
A,22
meal,22
show,22
watching,22
ve,22
Hall,22
ride,22
lit,22
rock,22
Silverlode,22
written,22
muttered,22
orcs,21
purpose,21
tidings,21
dusk,21
bare,21
cloak,21
pocket,21
THE,21
sides,21
rule,21
wandered,21
willing,21
Misty,21
changed,21
shape,21
thrust,21
second,21
fellow,21
climbing,21
real,21
Still,21
Theres,21
clad,21
by,21
sweet,21
choose,21
chamber,21
mine,21
elrond,21
inn,21
falls,21
ways,21
music,21
How,21
meant,21
Doom,21
surprise,21
Brandybuck,21
ended,21
prove,21
level,21
leaped,21
gathered,21
Nob,20
rien,20
single,20
Shadow,20
steps,20
begin,20
mile,20
wandering,20
thoughts,20
sharp,20
stirred,20
woke,20
drawn,20
Thats,20
speed,20
loud,20
wisdom,20
guard,20
reason,20
family,20
whose,20
arch,20
plan,20
pool,20
blade,20
kings,20
Go,20
nger,20
different,20
Gaffer,20
sit,20
terrible,20
tomorrow,20
paused,20
chill,20
no,20
everything,19
Grey,19
gift,19
likely,19
following,19
learn,19
rider,19
havent,19
Very,19
crept,19
lower,19
forget,19
showed,19
busy,19
Dale,19
winding,19
forest,19
easy,19
noon,19
halls,19
expect,19
seat,19
forth,19
ridge,19
amid,19
did,19
laughter,19
above,19
hood,19
listened,19
youll,19
Peregrin,19
Gandalfs,19
difcult,19
sunlight,19
birthday,19
somehow,19
Caradhras,19
songs,19
southern,19
wondering,19
remain,19
death,18
sooner,18
smiled,18
direction,18
destroyed,18
laughing,18
within,18
below,18
stop,18
landlord,18
entered,18
counsel,18
Fatty,18
covered,18
hilltop,18
belt,18
gates,18
winter,18
wore,18
touched,18
Power,18
needed,18
keen,18
lot,18
midst,18
smooth,18
gloom,18
its,18
cross,18
terror,18
Underhill,18
spoken,18
Balin,18
whatever,18
view,18
glimpse,18
taking,18
pursuit,18
shoulders,18
isnt,18
altogether,18
listen,18
dared,18
Gates,18
break,17
enemies,17
Who,17
cliff,17
age,17
friendly,17
trail,17
sighed,17
anyone,17
whispered,17
burst,17
afternoon,17
ajourneyinthedark,17
proved,17
deeply,17
remembered,17
huge,17
slept,17
rocks,17
sorry,17
beautiful,17
Brandy,17
Tower,17
Mountain,17
died,17
Downs,17
wanted,17
sea,17
hoofs,17
anyway,17
blow,17
pleasant,17
message,17
bound,17
actually,17
catch,17
ying,17
lad,17
Elder,17
stared,17
boughs,17
brief,17
riding,16
content,16
Gilgalad,16
At,16
careful,16
noticed,16
My,16
luck,16
dogs,16
sometimes,16
lore,16
Maybe,16
bad,16
heir,16
city,16
blew,16
Alas,16
stooped,16
village,16
pain,16
burden,16
beasts,16
afterwards,16
aloud,16
themselves,16
hoped,16
eating,16
or,16
dread,16
Nimrodel,16
awake,16
Hes,16
minds,16
crown,16
creature,16
theres,16
wrought,16
packs,16
Ferry,16
laden,16
number,16
hat,16
skill,16
towers,16
Man,16
usually,16
prologue,16
Big,16
servants,16
gleam,16
In,16
leagues,16
knees,16
breaking,16
deeds,16
pools,16
banks,16
smile,16
Mirror,16
SackvilleBagginses,15
Fear,15
owing,15
carried,15
shadowy,15
anxious,15
gathering,15
friendship,15
command,15
aid,15
mostly,15
cries,15
height,15
Where,15
task,15
track,15
roads,15
feast,15
strangers,15
space,15
ight,15
mouth,15
blankets,15
stronger,15
ash,15
fond,15
chosen,15
disappeared,15
island,15
welcome,15
various,15
struck,15
threw,15
Behind,15
harm,15
Amon,15
Take,15
touch,15
certainly,15
breakfast,15
autumn,15
parting,15
Tell,15
delight,15
believed,15
meeting,15
unfriendly,15
creatures,15
perilous,15
big,15
mark,15
bow,15
drawing,15
hurried,15
treasure,15
wrong,15
grief,15
Beyond,15
speech,15
farmer,15
knowledge,15
pardon,15
ne,15
stretched,15
Land,15
lawn,15
wizards,15
People,15
yourself,15
Some,15
wings,15
Rangers,15
chain,15
adventure,14
events,14
Folk,14
laugh,14
count,14
larger,14
Wilderland,14
holes,14
language,14
dry,14
same,14
Kings,14
further,14
stayed,14
courage,14
Sting,14
nished,14
Bucklebury,14
sought,14
lives,14
if,14
looks,14
her,14
Galadhrim,14
peered,14
daylight,14
stuff,14
worry,14
closely,14
sang,14
jumped,14
staring,14
messages,14
Look,14
twilight,14
carry,14
anxiously,14
letter,14
Of,14
fathers,14
sad,14
gazed,14
As,14
backs,14
gentle,14
mists,14
march,14
Dimrill,14
crack,14
gently,14
Fire,14
et,14
through,14
bushes,14
sank,14
beast,14
sense,14
gures,14
runs,14
dol,14
Toms,14
leaping,14
clean,14
stairs,14
Gate,14
Ferny,14
shores,14
ship,14
errand,14
Loien,13
as,13
joy,13
Lothloien,13
haste,13
foes,13
perils,13
Elronds,13
decide,13
prepared,13
warning,13
worst,13
cloaks,13
helped,13
itself,13
aknifeinthedark,13
Oh,13
halt,13
mistake,13
hurry,13
Water,13
Glon,13
Bolger,13
nding,13
echo,13
Long,13
Did,13
lake,13
alongexpectedparty,13
mere,13
nal,13
yes,13
gleamed,13
guide,13
eastwards,13
knowing,13
pillars,13
works,13
Elbereth,13
raised,13
mirror,13
spare,13
leaned,13
weapons,13
remains,13
Youll,13
realm,13
Book,13
glance,13
pointing,13
stony,13
fresh,13
matters,13
seeking,13
shallow,13
reeds,13
sheer,13
Radagast,13
eaten,13
imagined,13
hearing,13
trolls,13
eat,13
whisper,13
slender,13
signs,13
question,13
fading,13
magic,13
comfortable,13
seven,13
doing,13
swords,13
swept,13
destroy,13
Bywater,13
wet,13
shant,13
burned,13
escaped,13
cliffs,13
Dwarf,13
ten,13
lamps,13
wasnt,12
angry,12
fat,12
plunged,12
asking,12
turf,12
according,12
strike,12
picked,12
funny,12
spread,12
Sams,12
Withywindle,12
lines,12
vast,12
driven,12
grown,12
hurrying,12
northward,12
peering,12
vain,12
orc,12
note,12
Bagginses,12
lothlo,12
holding,12
putting,12
from,12
plainly,12
hurt,12
huddled,12
marks,12
loomed,12
spite,12
attack,12
May,12
discovered,12
Far,12
crossing,12
ows,12
meetings,12
records,12
legends,12
rich,12
southward,12
begun,12
families,12
Hedge,12
nightfall,12
stories,12
tread,12
Lobelia,12
Isengard,12
gazing,12
taller,12
spot,12
removed,12
Crickhollow,12
ceased,12
calling,12
meaning,12
clothes,12
sounds,12
stair,12
powers,12
crying,12
Hey,12
openly,12
pace,12
stout,12
jewels,12
discover,12
enter,12
fortune,12
money,12
shook,12
leaf,12
allowed,12
flight,12
folly,12
rise,12
nigh,12
have,12
silently,12
fail,12
Already,12
perished,12
leader,12
adventures,12
reward,12
pity,12
ford,12
marched,12
loss,12
couldnt,12
drove,12
comfort,12
hilt,12
order,12
journeyed,12
beer,11
writing,11
fashion,11
possessed,11
concerned,11
buried,11
chiey,11
means,11
doings,11
Fair,11
special,11
Brandybucks,11
serve,11
spies,11
horrible,11
King,11
cracked,11
storm,11
borne,11
dull,11
Ranger,11
glass,11
vision,11
shout,11
fate,11
kindred,11
amazement,11
hungry,11
starlight,11
fountain,11
waking,11
glittered,11
seas,11
Last,11
Balrog,11
OF,11
eld,11
ominous,11
pierced,11
anywhere,11
gap,11
waste,11
clearly,11
the,11
swung,11
letters,11
dis,11
These,11
shaking,11
cunning,11
dreadful,11
dare,11
effort,11
Age,11
repeated,11
Bruinen,11
Ted,11
Will,11
weariness,11
glimmering,11
been,11
invisible,11
Whats,11
pretty,11
other,11
crowned,11
Wait,11
afar,11
Away,11
camp,11
piled,11
inhabitants,11
shade,11
scent,11
hither,11
ashed,11
useful,11
Redhorn,11
disturbed,11
mention,11
clearer,11
higher,11
deeper,11
ames,11
with,11
baggage,11
chose,11
startled,11
spell,11
appear,11
fade,11
forced,11
thus,11
Barliman,11
pack,11
setting,11
fully,11
shot,11
knife,11
High,11
upper,11
alive,11
lightly,11
refreshed,11
stick,11
father,11
breast,11
stiff,11
fancy,11
mail,11
secrets,11
peaks,11
we,10
Farewell,10
boots,10
brink,10
thickets,10
Hollin,10
Upon,10
wander,10
simple,10
Beren,10
twice,10
only,10
loudly,10
six,10
Tooks,10
presents,10
eagerly,10
die,10
ends,10
dimly,10
Amroth,10
nights,10
exclaimed,10
candles,10
bend,10
Beside,10
bird,10
had,10
shelter,10
cleared,10
Hen,10
older,10
passes,10
Night,10
howling,10
smiling,10
wilderness,10
precious,10
weight,10
fears,10
wrapped,10
third,10
youre,10
nice,10
around,10
interested,10
Time,10
Red,10
notice,10
None,10
Hobbit,10
alarm,10
endless,10
Breefolk,10
some,10
interest,10
strode,10
brow,10
hearth,10
idea,10
thoughtfully,10
mortal,10
joke,10
please,10
wrath,10
am,10
searching,10
miss,10
waited,10
withered,10
wear,10
grim,10
brows,10
faintly,10
talked,10
ate,10
wholly,10
accident,10
Slowly,10
rang,10
teeth,10
arrow,10
Durins,10
explain,10
someone,10
Isildurs,10
dismay,10
apart,10
sharply,10
week,10
Mines,10
Rauros,10
desired,10
risk,10
grows,10
seated,10
art,10
claim,10
foam,10
Or,10
Poor,10
desperate,10
companion,10
downwards,10
lady,10
horn,10
drowned,10
delay,10
summer,10
o,10
willow,10
after,10
blood,10
houses,10
Is,10
custom,10
cover,10
arrows,10
hanging,10
bitter,10
craft,10
main,10
glade,10
noises,10
kindly,10
Every,10
Ringwraiths,9
greatest,9
defeat,9
cruel,9
loved,9
journeys,9
Precious,9
ending,9
mischief,9
barrow,9
waggon,9
gasped,9
curtains,9
Can,9
bone,9
spent,9
pressed,9
ung,9
galadriel,9
saved,9
Westernesse,9
horror,9
draw,9
tune,9
despair,9
outer,9
fairly,9
Quest,9
played,9
under,9
points,9
force,9
Bob,9
Lets,9
ages,9
they,9
stranger,9
write,9
what,9
dragons,9
cloth,9
springing,9
Sword,9
fault,9
abroad,9
dreams,9
pipe,9
Fredegar,9
named,9
Seven,9
bid,9
reworks,9
younger,9
passages,9
impossible,9
these,9
Arathorn,9
root,9
bread,9
draught,9
iron,9
shaft,9
Durin,9
neck,9
seized,9
Sarn,9
drive,9
absurd,9
Emyn,9
Muil,9
Something,9
beg,9
happen,9
tears,9
minute,9
mounted,9
reckoning,9
tower,9
mound,9
eager,9
wildly,9
odd,9
Havens,9
telling,9
attempt,9
relieved,9
Merrys,9
easily,9
mountain,9
Id,9
offer,9
idle,9
cousin,9
keeping,9
Neither,9
remote,9
Third,9
ood,9
Marish,9
mushrooms,9
books,9
Farmer,9
Goodbye,9
Ho,9
Kingdom,9
rocky,9
stands,9
shrill,9
peculiar,9
his,9
limbs,9
Northern,9
bite,9
y,9
rough,9
wouldnt,9
usual,9
throw,9
closer,9
curious,9
liked,9
Delving,9
Michel,9
leaning,9
warn,9
reckon,9
twinkling,9
heights,9
sailing,9
Lorin,9
beat,9
bringing,9
agreed,9
greatly,9
lately,9
muttering,9
relief,9
thrown,9
branch,9
throat,9
stuck,9
wealth,9
revealed,9
snifng,9
replied,9
roaring,9
nish,9
creeping,9
rolling,9
barrowdowns,9
astonishment,9
reported,9
bones,9
harsh,9
concern,9
delayed,9
paddle,9
lo,9
hide,9
quest,9
slain,9
proper,9
unable,9
joined,9
lose,9
hunting,9
Greenway,9
Bane,9
clutching,9
needs,9
surely,9
affair,8
nine,8
hiss,8
string,8
glittering,8
offered,8
marked,8
lunch,8
obviously,8
kitchen,8
pavilion,8
carrying,8
grave,8
blocked,8
glowed,8
rightly,8
pointed,8
wine,8
Give,8
easier,8
Put,8
anger,8
packed,8
knock,8
couple,8
chairs,8
midday,8
pushed,8
returning,8
giving,8
rumours,8
Only,8
